EDGE_SCORES,HALF_EDGE_SCORES,EXPECTED_MIN_SEATS,MORANS_I_MIN,MORANS_I_MAJ,CRAPY_MIN_SCORES,CRAPY_MAJ_SCORES
0.38884112899859125,0.5000250250356619,0.0,-0.16759269216522657,-0.16759269216522665,0.20010880259433594,0.7997101694369562
0.39005767598789964,0.5016535694669438,0.0,0.07276002925384852,0.07276002925384854,0.20053151603489755,0.7997791951024606
0.8057753575221938,0.8885965258600999,0.19475199999999998,0.8169775081699054,0.8169775081699057,0.6583190259119864,0.90657208351292
0.8191545665449216,0.8972908713372636,0.197604,0.8194001098604562,0.8194001098604562,0.6656010690747789,0.9085444889600807
0.4103790120838202,0.5279510390244655,0.000268,-0.20062569377304812,-0.20062569377304812,0.11500214659584941,0.7762194956948292
0.7769788471698538,0.8696864015080163,0.172656,0.7780239189038448,0.7780239189038447,0.5866209827347054,0.8772626545824517
0.8188156788663412,0.8971246505724241,0.20990000000000003,0.8054239038662943,0.8054239038662943,0.6603287774849166,0.9049423083750662
0.7754790252278041,0.8686401098364174,0.173504,0.7798193166281351,0.7798193166281353,0.5953756054417871,0.8800594129056027
0.7469083044002421,0.8487441587861577,0.16515333333333332,0.7656840488503669,0.7656840488503667,0.5730424103175126,0.8735628657030255
0.45377201455932714,0.5804227310525707,0.003468,-0.0419377451671577,-0.041937745167157724,0.18219755834719392,0.7926085267107971
