EDGE_SCORES,HALF_EDGE_SCORES,EXPECTED_MIN_SEATS,MORANS_I_MIN,MORANS_I_MAJ,CRAPY_MIN_SCORES,CRAPY_MAJ_SCORES
0.4052833232506554,0.5267222911263953,0.0017950000000000002,-0.20869332261737306,-0.20869332261737306,0.12470556271944626,0.709512649543509
0.4526015680684248,0.5819488228110534,0.07644666666666666,-0.06771147277476383,-0.06771147277476383,0.19552337219748364,0.7286525205569307
0.4721441634328025,0.6045213665576727,0.04382666666666667,-0.007769071060210191,-0.007769071060210201,0.19384146085095114,0.7383226428413152
0.42338582352860415,0.5495117378773888,0.00366,-0.14875092090281933,-0.14875092090281933,0.1401852047173857,0.715799719055216
0.5297211487580777,0.6653515767089174,0.070655,0.15263545643292487,0.15263545643292487,0.2544914681694348,0.7469761196585574
0.5708266139520366,0.7038118131868132,0.11601333333333333,0.24070725336548104,0.24070725336548104,0.3126197565688756,0.7661284799505546
0.5486174915489295,0.6807065217391305,0.09902,0.16837452280490245,0.16837452280490242,0.2561196270807496,0.7508045373245574
0.7036905536816774,0.8173403439588125,0.15828,0.5668742883932755,0.5668742883932755,0.44361867957852347,0.7910490102898543
0.7480314960629921,0.8498817002529166,0.22256,0.6603040653673566,0.6603040653673566,0.5488512608372385,0.8183293581545449
0.735064935064935,0.8402777777777778,0.17983333333333335,0.6144263612618044,0.6144263612618044,0.4945360597305143,0.8089476336696491
0.41036908087770774,0.5282880665670504,0.012024,-0.20701895385439664,-0.20701895385439664,0.12452300255141441,0.718876506863787
0.44386480854774113,0.5687205180041605,0.018093333333333333,-0.10655682807581525,-0.10655682807581526,0.15278853417771093,0.7261116185004015
0.432480718114079,0.5552430341917904,0.006006666666666666,-0.14004420333534234,-0.14004420333534234,0.12197371504967741,0.7187626111076164
0.4343062127493265,0.562382831080892,0.016093333333333334,-0.11526354564329222,-0.11526354564329222,0.16328619931850483,0.7240884337293727
0.4567737278960664,0.5881250174878984,0.011995,-0.04828879512423812,-0.04828879512423808,0.1657770410746567,0.7205492902484478
0.500335376791926,0.6342052199596717,0.06525,0.06623802826334473,0.06623802826334471,0.1992774533874036,0.743243626113215
0.500335376791926,0.6342052199596717,0.011866666666666668,0.06623802826334474,0.06623802826334474,0.19703135588519438,0.7230674140582077
0.5849963763632828,0.7169757326007327,0.107155,0.27419462862500793,0.2741946286250079,0.3246445758556634,0.7602494209418319
0.6548156978868229,0.7779103121183721,0.16477999999999998,0.4345991561181432,0.4345991561181432,0.4199961157738039,0.7955410389917926
0.8009941377081337,0.8858214512259025,0.19290000000000002,0.7413435134954124,0.7413435134954124,0.6065775825490347,0.8355957265285237
